GVF,PR,RE,NU
0.713928,0.752394,13.7612,6.57738
0.713928,0.752394,13.7612,6.57738
0.714975,0.74217,13.5902,6.55045
0.714975,0.74217,13.5902,6.55045
0.716687,0.731524,13.4095,6.51697
0.716687,0.731524,13.4095,6.51697
0.719065,0.720125,13.217,6.47774
0.719065,0.720125,13.217,6.47774
0.721357,0.707979,13.0133,6.43745
0.721357,0.707979,13.0133,6.43745
0.723441,0.695467,12.805,6.39657
0.723441,0.695467,12.805,6.39657
0.72561,0.68213,12.5906,6.35132
0.72561,0.68213,12.5906,6.35132
0.728343,0.668524,12.384,6.30076
0.728343,0.668524,12.384,6.30076
0.730859,0.654647,12.1735,6.25257
0.730859,0.654647,12.1735,6.25257
0.732664,0.640873,11.9475,6.21335
0.732664,0.640873,11.9475,6.21335
0.733567,0.627411,11.717,6.17817
0.733567,0.627411,11.717,6.17817
0.734631,0.614477,11.4933,6.14283
0.734631,0.614477,11.4933,6.14283
0.736071,0.602619,11.2904,6.10856
0.736071,0.602619,11.2904,6.10856
0.7385,0.592615,11.1271,6.07018
0.7385,0.592615,11.1271,6.07018
0.742093,0.584201,11.0101,6.0252
0.742093,0.584201,11.0101,6.0252
0.745338,0.576173,10.9002,5.98482
0.745338,0.576173,10.9002,5.98482
0.747726,0.567021,10.7625,5.94956
0.747726,0.567021,10.7625,5.94956
0.748795,0.55766,10.6112,5.92516
0.748795,0.55766,10.6112,5.92516
0.749571,0.548937,10.4646,5.90455
0.749571,0.548937,10.4646,5.90455
0.750979,0.54091,10.331,5.87988
0.750979,0.54091,10.331,5.87988
0.753248,0.533897,10.2159,5.85067
0.753248,0.533897,10.2159,5.85067
0.755981,0.528309,10.13,5.82106
0.755981,0.528309,10.13,5.82106
0.758679,0.524563,10.0776,5.79419
0.758679,0.524563,10.0776,5.79419
0.761797,0.522669,10.0685,5.76857
0.761797,0.522669,10.0685,5.76857
0.7646,0.520748,10.0552,5.74567
0.7646,0.520748,10.0552,5.74567
0.767684,0.518938,10.0465,5.72158
0.767684,0.518938,10.0465,5.72158
0.769717,0.517096,10.0389,5.70727
0.769717,0.517096,10.0389,5.70727
0.770308,0.51472,9.99385,5.70346
0.770308,0.51472,9.99385,5.70346
0.771507,0.512507,9.94953,5.6946
0.771507,0.512507,9.94953,5.6946
0.77416,0.5113,9.94147,5.67508
0.77416,0.5113,9.94147,5.67508
0.776958,0.510289,9.95227,5.65469
0.776958,0.510289,9.95227,5.65469
0.777809,0.508779,9.93294,5.64805
0.777809,0.508779,9.93294,5.64805
0.776743,0.507336,9.89839,5.65329
0.776743,0.507336,9.89839,5.65329
0.774763,0.506583,9.8656,5.66753
0.774763,0.506583,9.8656,5.66753
0.773991,0.507827,9.87433,5.67883
0.773991,0.507827,9.87433,5.67883
0.773708,0.50972,9.8985,5.6912
0.773708,0.50972,9.8985,5.6912
0.774421,0.512563,9.94674,5.69701
0.774421,0.512563,9.94674,5.69701
0.775333,0.517659,10.048,5.70743
0.775333,0.517659,10.048,5.70743
0.775697,0.523117,10.1578,5.72091
0.775697,0.523117,10.1578,5.72091
0.775577,0.529362,10.2691,5.73701
0.775577,0.529362,10.2691,5.73701
0.77535,0.535574,10.3839,5.75734
0.77535,0.535574,10.3839,5.75734
0.77547,0.544007,10.5355,5.78544
0.77547,0.544007,10.5355,5.78544
0.780674,0.556081,10.8018,5.78091
0.780674,0.556081,10.8018,5.78091
0.791666,0.570248,11.1844,5.7517
0.791666,0.570248,11.1844,5.7517
0.804954,0.587795,11.6761,5.72829
0.804954,0.587795,11.6761,5.72829
0.828514,0.605396,12.3029,5.6267
0.828514,0.605396,12.3029,5.6267
0.854124,0.621934,12.9733,5.52772
0.854124,0.621934,12.9733,5.52772
0.877962,0.634484,13.5359,5.4398
0.877962,0.634484,13.5359,5.4398
0.90467,0.640131,13.9719,5.31327
0.90467,0.640131,13.9719,5.31327
0.929823,0.628814,13.9977,5.17479
0.929823,0.628814,13.9977,5.17479
0.94923,0.603062,13.6292,5.04183
0.94923,0.603062,13.6292,5.04183
0.965881,0.567918,13.0056,4.90508
0.965881,0.567918,13.0056,4.90508
0.978046,0.527442,12.2009,4.78059
0.978046,0.527442,12.2009,4.78059
0.985704,0.491333,11.4505,4.68526
0.985704,0.491333,11.4505,4.68526
0.991223,0.4585,10.7475,4.60123
0.991223,0.4585,10.7475,4.60123
0.994505,0.42974,10.1115,4.5342
0.994505,0.42974,10.1115,4.5342
0.996913,0.407925,9.62509,4.48113
0.996913,0.407925,9.62509,4.48113
0.998148,0.393883,9.30684,4.44859
0.998148,0.393883,9.30684,4.44859
0.998588,0.382934,9.05326,4.42451
0.998588,0.382934,9.05326,4.42451
0.998563,0.374378,8.85049,4.40599
0.998563,0.374378,8.85049,4.40599
0.998709,0.367428,8.68807,4.39046
0.998709,0.367428,8.68807,4.39046
0.998799,0.363972,8.6079,4.38312
0.998799,0.363972,8.6079,4.38312
0.998778,0.36182,8.55644,4.37838
0.998778,0.36182,8.55644,4.37838
0.998848,0.35957,8.50277,4.37287
0.998848,0.35957,8.50277,4.37287
0.999028,0.356694,8.43566,4.36548
0.999028,0.356694,8.43566,4.36548
0.999168,0.353114,8.35193,4.35716
0.999168,0.353114,8.35193,4.35716
0.999191,0.349493,8.26605,4.34989
0.999191,0.349493,8.26605,4.34989
0.999136,0.345831,8.17838,4.34287
0.999136,0.345831,8.17838,4.34287
0.999038,0.342123,8.08921,4.33569
0.999038,0.342123,8.08921,4.33569
0.99894,0.33843,8.00034,4.32875
0.99894,0.33843,8.00034,4.32875
0.998952,0.334634,7.91062,4.32025
0.998952,0.334634,7.91062,4.32025
0.999144,0.330522,7.81611,4.31091
0.999144,0.330522,7.81611,4.31091
0.999297,0.326435,7.7216,4.30124
0.999297,0.326435,7.7216,4.30124
0.999409,0.32264,7.63337,4.2931
0.999409,0.32264,7.63337,4.2931
0.999488,0.31872,7.54202,4.28457
0.999488,0.31872,7.54202,4.28457
0.999516,0.314682,7.4473,4.27581
0.999516,0.314682,7.4473,4.27581
0.999575,0.310993,7.36037,4.26766
0.999575,0.310993,7.36037,4.26766
0.999865,0.307278,7.27554,4.25826
0.999865,0.307278,7.27554,4.25826
1,0.303669,7.1919,4.24957
1,0.303669,7.1919,4.24957
1,0.300232,7.11049,4.24235
1,0.300232,7.11049,4.24235
1,0.296925,7.03217,4.23513
1,0.296925,7.03217,4.23513
1,0.294084,6.9649,4.22875
1,0.294084,6.9649,4.22875
1,0.291479,6.9032,4.22319
1,0.291479,6.9032,4.22319
1,0.288987,6.84418,4.21808
1,0.288987,6.84418,4.21808
1,0.286563,6.78676,4.21271
1,0.286563,6.78676,4.21271
1,0.284253,6.73205,4.2079
1,0.284253,6.73205,4.2079
1,0.282074,6.68044,4.20345
1,0.282074,6.68044,4.20345
1,0.28,6.63134,4.19901
1,0.28,6.63134,4.19901
1,0.278009,6.58417,4.19434
1,0.278009,6.58417,4.19434
1,0.276117,6.53936,4.18963
1,0.276117,6.53936,4.18963
1,0.274389,6.49844,4.18576
1,0.274389,6.49844,4.18576
1,0.272826,6.46141,4.18281
1,0.272826,6.46141,4.18281
1,0.27136,6.42671,4.17978
1,0.27136,6.42671,4.17978
1,0.269981,6.39406,4.17689
1,0.269981,6.39406,4.17689
1,0.26868,6.36323,4.17393
1,0.26868,6.36323,4.17393
1,0.267507,6.33547,4.17159
1,0.267507,6.33547,4.17159
1,0.266494,6.31147,4.17018
1,0.266494,6.31147,4.17018
1,0.265543,6.28893,4.16885
1,0.265543,6.28893,4.16885
1,0.264617,6.26702,4.16748
1,0.264617,6.26702,4.16748
1,0.263684,6.24492,4.16571
1,0.263684,6.24492,4.16571
1,0.262744,6.22265,4.16346
1,0.262744,6.22265,4.16346
1,0.261819,6.20076,4.16086
1,0.261819,6.20076,4.16086
1,0.260978,6.18083,4.15894
1,0.260978,6.18083,4.15894
1,0.260235,6.16323,4.15756
1,0.260235,6.16323,4.15756
1,0.259583,6.14779,4.15644
1,0.259583,6.14779,4.15644
1,0.259066,6.13554,4.15603
1,0.259066,6.13554,4.15603
1,0.258645,6.12558,4.15601
1,0.258645,6.12558,4.15601
1,0.258283,6.117,4.15616
1,0.258283,6.117,4.15616
1,0.257947,6.10904,4.1562
1,0.257947,6.10904,4.1562
1,0.257624,6.10138,4.15608
1,0.257624,6.10138,4.15608
1,0.257313,6.09403,4.15581
1,0.257313,6.09403,4.15581
1,0.257011,6.08687,4.15533
1,0.257011,6.08687,4.15533
1,0.256707,6.07969,4.15442
1,0.256707,6.07969,4.15442
1,0.25646,6.07383,4.15385
1,0.25646,6.07383,4.15385
1,0.256273,6.0694,4.15346
1,0.256273,6.0694,4.15346
1,0.256146,6.06639,4.15348
1,0.256146,6.06639,4.15348
1,0.256048,6.06407,4.1537
1,0.256048,6.06407,4.1537
1,0.255952,6.06179,4.15379
1,0.255952,6.06179,4.15379
1,0.255842,6.05919,4.15348
1,0.255842,6.05919,4.15348
1,0.255736,6.05668,4.15302
1,0.255736,6.05668,4.15302
1,0.255672,6.05517,4.1532
1,0.255672,6.05517,4.1532
